Pathways	Reaction-List	Common-Name	Names	Regulated-By	Primary-Products	Primary-Reactants	Object ID	Super-Pathways	Ontology -  all instances of class	Ontology - all subclasses of class	Ontology - direct instances of class	Ontology - direct parents of entity	Ontology - direct subclasses of class	Ontology - pathway type	Final_pathway	Compounds of pathway	Reactants of pathway	Reactions of pathway
PWY-3661-1	RXN-22741 // DIMETHYLGLYCINE-DEHYDROGENASE-RXN // GLYOHMETRANS-RXN // 2.1.1.5-RXN	glycine betaine degradation II (mammalian)	glycine betaine degradation II (mammalian)		SER	BETAINE	PWY-3661-1					Glycine-Betaine-Degradation		AMINE-DEG	AMINE-DEG	MET // HOMO-CYS // BETAINE // WATER // SER // DIMETHYL-GLYCINE // ETF-Reduced // METHYLENE-THF-GLU-N // GLY // SARCOSINE // THF-GLU-N // ETF-Oxidized // PROTON	ETF-Oxidized // PROTON // WATER // HOMO-CYS // BETAINE	RXN-22741 // DIMETHYLGLYCINE-DEHYDROGENASE-RXN // GLYOHMETRANS-RXN // 2.1.1.5-RXN
PWY-3661	RXN-22742 // RXN-22706 // GLYOHMETRANS-RXN // RXN-15127 // RXN-15124 // RXN-15125 // SARCOX-RXN // 2.1.1.5-RXN	glycine betaine degradation I	glycine betaine degradation I		PYRUVATE	BETAINE	PWY-3661					Glycine-Betaine-Degradation		AMINE-DEG	AMINE-DEG	MET // HOMO-CYS // BETAINE // FORMALDEHYDE // 2-AMINOACRYLATE // AMMONIUM // PYRUVATE // CPD-16015 // WATER // SER // DIMETHYL-GLYCINE // HYDROGEN-PEROXIDE // METHYLENE-THF-GLU-N // GLY // OXYGEN-MOLECULE // THF-GLU-N // SARCOSINE	OXYGEN-MOLECULE // HOMO-CYS // BETAINE	RXN-22742 // RXN-22706 // GLYOHMETRANS-RXN // RXN-15127 // RXN-15124 // RXN-15125 // SARCOX-RXN // 2.1.1.5-RXN
CHOLINE-BETAINE-ANA-PWY	CHD-RXN // BADH-RXN	choline degradation I	choline degradation I // choline betaine anabolism		BETAINE	CHOLINE	CHOLINE-BETAINE-ANA-PWY	P542-PWY				Choline-Degradation		AMINE-DEG	AMINE-DEG	NADH // BETAINE // PROTON // NAD // WATER // Donor-H2 // BETAINE_ALDEHYDE // CHOLINE // Acceptor	CHOLINE // Acceptor // NAD // WATER	CHD-RXN // BADH-RXN
PWY-7167	RXN-13946	choline degradation III	choline degradation III		TRIMETHYLAMINE	CHOLINE	PWY-7167					Choline-Degradation		AMINE-DEG	AMINE-DEG	ACETALD // TRIMETHYLAMINE // CHOLINE	CHOLINE	RXN-13946
PWY-3721	RXN-6268 // RXN-23577 // CHOLINE-OXIDASE-RXN	choline degradation II	choline degradation II		BETAINE	CHOLINE	PWY-3721	PWY-7494				Choline-Degradation		AMINE-DEG	AMINE-DEG	CHOLINE // PROTON // HYDROGEN-PEROXIDE // BETAINE // OXYGEN-MOLECULE // WATER // BETAINE_ALDEHYDE // BETAINE-ALDEHYDE-HYDRATE	WATER // OXYGEN-MOLECULE // CHOLINE	RXN-6268 // RXN-23577 // CHOLINE-OXIDASE-RXN
PWY-7085	ACETALD-DEHYDROG-RXN // RXN-13592 // RXN-13594 // RXN-13591 // RXN-13593 // RXN-13590	triethylamine degradation	triethylamine degradation		ACETYL-COA // ETHANAMINE // ACETALD // DIETHYLAMINE	TRIETHYLAMINE	PWY-7085					AMINE-DEG		AMINE-DEG	AMINE-DEG	TRIETHYLAMINE // CPD-14564 // DIETHYLAMINE // CPD-14565 // WATER // NADP // AMMONIUM // ETHANAMINE // OXYGEN-MOLECULE // NADPH // PROTON // NADH // ACETYL-COA // ACETALD // CO-A // NAD	CO-A // NAD // OXYGEN-MOLECULE // NADPH // TRIETHYLAMINE	ACETALD-DEHYDROG-RXN // RXN-13592 // RXN-13594 // RXN-13591 // RXN-13593 // RXN-13590
PWY0-1477	ALCOHOL-DEHYDROG-RXN // ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // ACETALD-DEHYDROG-RXN // ETHAMLY-RXN	ethanolamine utilization	ethanolamine utilization		ETOH // ACET	ETHANOL-AMINE	PWY0-1477					AMINE-DEG		AMINE-DEG	AMINE-DEG	AMMONIUM // ETHANOL-AMINE // CO-A // Pi // ACETYL-COA // ACETYL-P // ADP // ATP // ACET // PROTON // NADH // ACETALD // ETOH // NAD	ADP // Pi // ETHANOL-AMINE	ALCOHOL-DEHYDROG-RXN // ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // ACETALD-DEHYDROG-RXN // ETHAMLY-RXN
PWY-6968	RXN-12901 // RXN-12900 // TRIMETHYLAMINE-OXIDE-ALDOLASE-RXN	trimethylamine degradation	trimethylamine degradation		METHYLAMINE // FORMALDEHYDE // DIMETHYLAMINE	TRIMETHYLAMINE	PWY-6968	PWY-6962				AMINE-DEG		AMINE-DEG	AMINE-DEG	TRIMETHYLAMINE-N-O // TRIMETHYLAMINE // NADP // WATER // FORMALDEHYDE // METHYLAMINE // DIMETHYLAMINE // OXYGEN-MOLECULE // NADPH // PROTON	OXYGEN-MOLECULE // NADPH // PROTON // TRIMETHYLAMINE	RXN-12901 // RXN-12900 // TRIMETHYLAMINE-OXIDE-ALDOLASE-RXN
PWY-7855	RXN-18427 // R101-RXN // RXN-18397 // RXN-18396	ectoine degradation	ectoine degradation		L-ASPARTATE	ECTOINE	PWY-7855					AMINE-DEG		AMINE-DEG	AMINE-DEG	ACET // CPD-19757 // ECTOINE // GLT // CPD-470 // 2-KETOGLUTARATE // PROTON // NADH // L-ASPARTATE // L-ASPARTATE-SEMIALDEHYDE // NAD // WATER	NAD // WATER // 2-KETOGLUTARATE // ECTOINE	RXN-18427 // R101-RXN // RXN-18397 // RXN-18396
PWY-5736	RXN-8945 // RXN-8944 // RXN-8946 // RXN-8943 // RXN-8942 // RXN-8941 // RXN-8940	isopropylamine degradation	isopropylamine degradation		L-ALPHA-ALANINE // PROPIONATE	ISOPROPYLAMINE // GLT	PWY-5736					AMINE-DEG		AMINE-DEG	AMINE-DEG	Pi // ADP // ISOPROPYLAMINE // ATP // CPD-9372 // OXYGEN-MOLECULE // GLT // CPD-9373 // PROPIONATE // AMMONIUM // CPD-665 // CPD-9374 // PROTON // NADH-P-OR-NOP // L-ALPHA-ALANINE // CPD-9375 // WATER // NAD-P-OR-NOP	OXYGEN-MOLECULE // ISOPROPYLAMINE // ATP	RXN-8945 // RXN-8944 // RXN-8946 // RXN-8943 // RXN-8942 // RXN-8941 // RXN-8940
PWY-7431	SYNEPHRINE-DEHYDRATASE-RXN // RXN-8505 // RXN-15198 // OCTOPAMINE-DEHYDRATASE-RXN // RXN6666-5 // RXN6666-4 // 1.2.1.53-RXN // RXN-5821	aromatic biogenic amine degradation (bacteria)	aromatic biogenic amine degradation (bacteria)		CPD-782	1-4-HYDROXYPHENYL-2-METHYLAMINOETHAN // CPD-58 // DOPAMINE // TYRAMINE	PWY-7431					AMINE-DEG		AMINE-DEG	AMINE-DEG	CPD-16178 // CPD-16179 // CPD-16176 // CPD-16177 // HYDROGEN-PEROXIDE // DOPAMINE // NADH // 34-DIHYDROXYPHENYLACETALDEHYDE // NAD // CPD-58 // AMMONIUM // Donor-H2 // TYRAMINE // Acceptor // FAD // WATER // CPD-782 // PROTON // 4-HYDROXYPHENYLACETATE // OXYGEN-MOLECULE // FADH2 // METHYLAMINE // HYDRPHENYLAC-CPD // 1-4-HYDROXYPHENYL-2-METHYLAMINOETHAN	1-4-HYDROXYPHENYL-2-METHYLAMINOETHAN // OXYGEN-MOLECULE // FADH2 // TYRAMINE // Acceptor // CPD-58 // NAD // DOPAMINE	SYNEPHRINE-DEHYDRATASE-RXN // RXN-8505 // RXN-15198 // OCTOPAMINE-DEHYDRATASE-RXN // RXN6666-5 // RXN6666-4 // 1.2.1.53-RXN // RXN-5821
PWY6666-2	RXN6666-9 // RXN6666-7 // RXN6666-6 // RXN6666-5 // RXN6666-4	dopamine degradation	dopamine degradation		CPD-7649 // CPD-7650 // CPD-7651	DOPAMINE	PWY6666-2					AMINE-DEG		AMINE-DEG	AMINE-DEG	HYDROGEN-PEROXIDE // AMMONIUM // OXYGEN-MOLECULE // NADH // 34-DIHYDROXYPHENYLACETALDEHYDE // NAD // WATER // CPD-7651 // CPD-782 // CPD-7650 // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // CPD-7649 // PROTON // 3-5-ADP // DOPAMINE // PAPS	DOPAMINE // PAPS // S-ADENOSYLMETHIONINE // NAD // WATER // OXYGEN-MOLECULE	RXN6666-9 // RXN6666-7 // RXN6666-6 // RXN6666-5 // RXN6666-4
PWY-3621	1.14.11.1-RXN	&gamma;-butyrobetaine degradation II	&gamma;-butyrobetaine degradation II				PWY-3621					Gamma-butyrobetaine-Degradation		AMINE-DEG	AMINE-DEG	CARBON-DIOXIDE // SUC // CARNITINE // GAMMA-BUTYROBETAINE // 2-KETOGLUTARATE // OXYGEN-MOLECULE	GAMMA-BUTYROBETAINE // 2-KETOGLUTARATE // OXYGEN-MOLECULE	1.14.11.1-RXN
PWY-6181	RXN-10089 // RXN-9600 // HISTAMINE-N-METHYLTRANSFERASE-RXN	histamine degradation	histamine degradation		4-IMIDAZOLEACETATE // N-METHYL-HISTAMINE	HISTAMINE	PWY-6181					AMINE-DEG		AMINE-DEG	AMINE-DEG	N-METHYL-HISTAMINE // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // HYDROGEN-PEROXIDE // AMMONIUM // HISTAMINE // OXYGEN-MOLECULE // PROTON // NADH // 4-IMIDAZOLEACETATE // IMIDAZOLE_ACETALDEHYDE // WATER // NAD	WATER // NAD // HISTAMINE // OXYGEN-MOLECULE // S-ADENOSYLMETHIONINE	RXN-10089 // RXN-9600 // HISTAMINE-N-METHYLTRANSFERASE-RXN
PWY-6537	SUCCSEMIALDDEHYDROG-RXN // GABATRANSAM-RXN	4-aminobutanoate degradation II	4-aminobutanoate degradation II // 4-aminobutyrate degradation II // 4-aminobutanoic acid degradation II		SUC	4-AMINO-BUTYRATE	PWY-6537	4AMINOBUTMETAB-PWY				4-Aminobutyraye-Degradation		AMINE-DEG	AMINE-DEG	GLT // 4-AMINO-BUTYRATE // 2-KETOGLUTARATE // PROTON // NADPH // SUC // SUCC-S-ALD // NADP // WATER	NADP // WATER // 4-AMINO-BUTYRATE // 2-KETOGLUTARATE	SUCCSEMIALDDEHYDROG-RXN // GABATRANSAM-RXN
PWY-6536	RXN0-5293 // GABATRANSAM-RXN	4-aminobutanoate degradation III	4-aminobutanoate degradation III // &gamma;-amino-butyrate shunt // GABA degradation // 4-aminobutyrate degradation III // 4-aminobutanoic acid degradation III		SUC	4-AMINO-BUTYRATE	PWY-6536					4-Aminobutyraye-Degradation		AMINE-DEG	AMINE-DEG	GLT // 4-AMINO-BUTYRATE // 2-KETOGLUTARATE // PROTON // SUC // NADH-P-OR-NOP // SUCC-S-ALD // NAD-P-OR-NOP // WATER	NAD-P-OR-NOP // WATER // 4-AMINO-BUTYRATE // 2-KETOGLUTARATE	RXN0-5293 // GABATRANSAM-RXN
PWY-6535	SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // GABATRANSAM-RXN	4-aminobutanoate degradation I	4-aminobutanoate degradation I // &gamma;-amino-butyrate shunt // GABA degradation // 4-aminobutyrate degradation I // 4-aminobutanoic acid degradation I		SUC	4-AMINO-BUTYRATE	PWY-6535	PWY-8346 // 4AMINOBUTMETAB-PWY // GLUDEG-I-PWY				4-Aminobutyraye-Degradation		AMINE-DEG	AMINE-DEG	GLT // 4-AMINO-BUTYRATE // 2-KETOGLUTARATE // PROTON // NADH // SUC // SUCC-S-ALD // WATER // NAD	WATER // NAD // 4-AMINO-BUTYRATE // 2-KETOGLUTARATE	SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // GABATRANSAM-RXN
PWY-6473	RXN-11002 // SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // RXN-6902	4-aminobutanoate degradation IV	4-aminobutanoate degradation IV // GABA metabolism during fruit ripening // 4-aminobutyrate degradation IV // 4-aminobutanoic acid degradation IV		SUC	4-AMINO-BUTYRATE	PWY-6473					4-Aminobutyraye-Degradation		AMINE-DEG	AMINE-DEG	L-ALPHA-ALANINE // 4-AMINO-BUTYRATE // PYRUVATE // NADH // SUC // WATER // NAD // SUCC-S-ALD // NADPH // PROTON // NADP // 4-HYDROXY-BUTYRATE	NADPH // WATER // NAD // 4-AMINO-BUTYRATE // PYRUVATE	RXN-11002 // SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // RXN-6902
PWY-2	RXN-6423 // AMINOBUTDEHYDROG-RXN // PUTRESCINE-OXIDASE-RXN	putrescine degradation IV	putrescine degradation IV		CPD-6124 // 4-AMINO-BUTYRATE	PUTRESCINE	PWY-2					Putrescine-Degradation		AMINE-DEG	AMINE-DEG	HYDROGEN-PEROXIDE // AMMONIUM // OXYGEN-MOLECULE // PUTRESCINE // PROTON // NADH // 4-AMINO-BUTYRATE // NAD // WATER // CPD-6124 // 4-AMINO-BUTYRALDEHYDE	NAD // OXYGEN-MOLECULE // PUTRESCINE	RXN-6423 // AMINOBUTDEHYDROG-RXN // PUTRESCINE-OXIDASE-RXN
PWY-0	RXN-36 // RXN-37 // RXN-1 // RXN-0	putrescine degradation III	putrescine degradation III		4-AMINO-BUTYRATE	PUTRESCINE	PWY-0					Putrescine-Degradation		AMINE-DEG	AMINE-DEG	CO-A // ACETYL-COA // PUTRESCINE // HYDROGEN-PEROXIDE // AMMONIUM // CPD-569 // OXYGEN-MOLECULE // PROTON // NADH // CPD-30 // NAD // ACET // 4-AMINO-BUTYRATE // CPD-35 // WATER	WATER // NAD // OXYGEN-MOLECULE // ACETYL-COA // PUTRESCINE	RXN-36 // RXN-37 // RXN-1 // RXN-0
PWY0-1221	RXN0-3901 // RXN0-3921 // RXN0-3922 // RXN0-3942	putrescine degradation II	putrescine degradation II		GLT // 4-AMINO-BUTYRATE	PUTRESCINE // GLT	PWY0-1221	ORNDEG-PWY // ARGDEG-PWY				Putrescine-Degradation		AMINE-DEG	AMINE-DEG	4-AMINO-BUTYRATE // NADH-P-OR-NOP // CPD-9000 // NAD-P-OR-NOP // AMMONIUM // HYDROGEN-PEROXIDE // GAMMA-GLUTAMYL-GAMMA-AMINOBUTYRALDEH // WATER // OXYGEN-MOLECULE // Pi // ADP // GAMMA-GLUTAMYL-PUTRESCINE // PROTON // PUTRESCINE // GLT // ATP	PUTRESCINE // ATP // WATER // OXYGEN-MOLECULE // NAD-P-OR-NOP	RXN0-3901 // RXN0-3921 // RXN0-3922 // RXN0-3942
PUTDEG-PWY	PUTTRANSAM-RXN // AMINOBUTDEHYDROG-RXN	putrescine degradation I	putrescine degradation I // putrescine degradation		4-AMINO-BUTYRATE	PUTRESCINE	PUTDEG-PWY	ORNDEG-PWY // ARGDEG-PWY				Putrescine-Degradation		AMINE-DEG	AMINE-DEG	PROTON // NADH // 4-AMINO-BUTYRATE // NAD // WATER // GLT // 4-AMINO-BUTYRALDEHYDE // PUTRESCINE // 2-KETOGLUTARATE	PUTRESCINE // 2-KETOGLUTARATE // NAD // WATER	PUTTRANSAM-RXN // AMINOBUTDEHYDROG-RXN
PWY-3	RXN-8 // AMINOBUTDEHYDROG-RXN	putrescine degradation V	putrescine degradation V		4-AMINO-BUTYRATE	PUTRESCINE	PWY-3					Putrescine-Degradation		AMINE-DEG	AMINE-DEG	PROTON // NADH // 4-AMINO-BUTYRATE // NAD // WATER // L-ALPHA-ALANINE // 4-AMINO-BUTYRALDEHYDE // PUTRESCINE // PYRUVATE	PUTRESCINE // PYRUVATE // NAD // WATER	RXN-8 // AMINOBUTDEHYDROG-RXN
PWY-5698	URUR-RXN // ALLANTOATE-DEIMINASE-RXN // ALLANTOINASE-RXN	allantoin degradation to ureidoglycolate II (ammonia producing)	allantoin degradation to ureidoglycolate II (ammonia producing)		CPD-1091	S-ALLANTOIN	PWY-5698	PWY0-41 // PWY-5705 // PWY-5692				Allantoin-degradation		AMINE-DEG	AMINE-DEG	S-ALLANTOIN // CARBON-DIOXIDE // PROTON // ALLANTOATE // AMMONIUM // CPD-1091 // CPD0-2298 // WATER	WATER // S-ALLANTOIN	URUR-RXN // ALLANTOATE-DEIMINASE-RXN // ALLANTOINASE-RXN
PWY-5697	ALLANTOICASE-RXN // ALLANTOINASE-RXN	allantoin degradation to ureidoglycolate I (urea producing)	allantoin degradation to ureidoglycolate I (urea producing)		CPD-1091	S-ALLANTOIN	PWY-5697	PWY-5694				Allantoin-degradation		AMINE-DEG	AMINE-DEG	PROTON // S-ALLANTOIN // UREA // CPD-1091 // WATER // ALLANTOATE	WATER // S-ALLANTOIN	ALLANTOICASE-RXN // ALLANTOINASE-RXN
PWY-7400	RXN-15004 // RXN-15007 // RXN-15006 // RXN-15005 // RXN-15003 // CARBPSYN-RXN // ORNCARBAMTRANSFER-RXN // ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN	L-arginine biosynthesis IV (archaea)	L-arginine biosynthesis IV (archaea)		ARG		PWY-7400					ARGININE-SYN		Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	AMMONIA // CARBAMATE // CPD-18238 // AMP // PPI // L-ASPARTATE // FUM // ARG // L-ARGININO-SUCCINATE // L-CITRULLINE // CARBAMOYL-P // GLN // HCO3 // ADP // LysW-L-glutamate // ATP // PROTON // NADPH // LysW-L-glutamate-5-phosphate // NADP // Pi // LysW-L-glutamate-5-semialdehyde // GLT // 2-KETOGLUTARATE // LysW-C-Terminal-L-Glutamate // L-ORNITHINE // LysW-L-ornithine // WATER	WATER // NADPH // ATP // GLN // HCO3 // L-ASPARTATE	RXN-15004 // RXN-15007 // RXN-15006 // RXN-15005 // RXN-15003 // CARBPSYN-RXN // ORNCARBAMTRANSFER-RXN // ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN
PWY-5154	ACETYLORNTRANSAM-RXN // N-ACETYLGLUTPREDUCT-RXN // ACETYLGLUTKIN-RXN // N-ACETYLTRANSFER-RXN // RXN-7933 // 2.1.3.9-RXN // CARBPSYN-RXN // ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN	L-arginine biosynthesis III (via <i>N</i>-acetyl-L-citrulline)	L-arginine biosynthesis III (via <i>N</i>-acetyl-L-citrulline)		ARG		PWY-5154					ARGININE-SYN		Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	AMMONIA // CARBAMATE // CPD-18238 // AMP // PPI // L-ASPARTATE // FUM // ARG // L-ARGININO-SUCCINATE // GLN // HCO3 // CARBAMOYL-P // ACET // L-CITRULLINE // CPD-7224 // WATER // CO-A // ACETYL-COA // ADP // ACETYL-GLU // ATP // NADPH // N-ACETYL-GLUTAMYL-P // PROTON // NADP // Pi // CPD-469 // GLT // N-ALPHA-ACETYLORNITHINE // 2-KETOGLUTARATE	NADPH // ATP // ACETYL-COA // WATER // GLN // HCO3 // L-ASPARTATE	ACETYLORNTRANSAM-RXN // N-ACETYLGLUTPREDUCT-RXN // ACETYLGLUTKIN-RXN // N-ACETYLTRANSFER-RXN // RXN-7933 // 2.1.3.9-RXN // CARBPSYN-RXN // ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN
ARGSYNBSUB-PWY	N-ACETYLTRANSFER-RXN // CARBPSYN-RXN // GLUTAMATE-N-ACETYLTRANSFERASE-RXN // ACETYLGLUTKIN-RXN // N-ACETYLGLUTPREDUCT-RXN // ACETYLORNTRANSAM-RXN // ORNCARBAMTRANSFER-RXN // ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN	L-arginine biosynthesis II (acetyl cycle)	L-arginine biosynthesis II (acetyl cycle)		ARG		ARGSYNBSUB-PWY					ARGININE-SYN		Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	AMMONIA // CARBAMATE // CPD-18238 // AMP // PPI // L-ASPARTATE // FUM // ARG // L-ARGININO-SUCCINATE // L-CITRULLINE // 2-KETOGLUTARATE // NADPH // CPD-469 // NADP // N-ACETYL-GLUTAMYL-P // L-ORNITHINE // N-ALPHA-ACETYLORNITHINE // Pi // ADP // CARBAMOYL-P // ATP // GLN // HCO3 // WATER // CO-A // ACETYL-GLU // PROTON // GLT // ACETYL-COA	ACETYL-COA // ATP // GLN // HCO3 // WATER // NADPH // L-ASPARTATE	N-ACETYLTRANSFER-RXN // CARBPSYN-RXN // GLUTAMATE-N-ACETYLTRANSFERASE-RXN // ACETYLGLUTKIN-RXN // N-ACETYLGLUTPREDUCT-RXN // ACETYLORNTRANSAM-RXN // ORNCARBAMTRANSFER-RXN // ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN
PWY-8072	ALARACECAT-RXN	alanine racemization	alanine racemization		D-ALANINE		PWY-8072					Other-Amino-Acid-Biosynthesis		Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	D-ALANINE // L-ALPHA-ALANINE	L-ALPHA-ALANINE	ALARACECAT-RXN
PWY-1186	RXN-18198 // RXN-18183 // RXN-18182 // R15-RXN // RXN-2205 // RXN-2204 // RXN-2202	L-homomethionine biosynthesis	L-homomethionine biosynthesis // L-methionine chain elongation pathway		HOMOMETHIONINE		PWY-1186					Other-Amino-Acid-Biosynthesis		Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	CO-A // ACETYL-COA // NADH // NAD // HOMOMETHIONINE // Amino-Acids-20 // CPD-479 // MET // 2-Oxo-carboxylates // 2-2-METHYLTHIOETHYLMALIC-ACID // 3-2-METHYLTHIOETHYLMALIC-ACID // CPD-19476 // WATER // CARBON-DIOXIDE // 2-OXO-5-METHYLTHIOPENTANOIC-ACID // CPD-19486 // PROTON	MET // NAD // ACETYL-COA	RXN-18198 // RXN-18183 // RXN-18182 // R15-RXN // RXN-2205 // RXN-2204 // RXN-2202
PWY-7275	RXN-14465 // RXN-14464 // RXN-14467 // 2.6.1.58-RXN // RXN-14462 // RXN-14463	L-homophenylalanine biosynthesis	L-homophenylalanine biosynthesis		CPD-15322		PWY-7275					Other-Amino-Acid-Biosynthesis		Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	CO-A // CPD-15323 // ACETYL-COA // WATER // PHENYL-PYRUVATE // PHE // L-ALPHA-ALANINE // CPD-15322 // PYRUVATE // NADH // CPD-15324 // NAD // CARBON-DIOXIDE // CPD-15326 // CPD-15325 // PROTON	NAD // PHE // ACETYL-COA // WATER	RXN-14465 // RXN-14464 // RXN-14467 // 2.6.1.58-RXN // RXN-14462 // RXN-14463
PWY-7701	4.1.3.17-RXN // RXN-16958	4-hydroxy-4-methyl-L-glutamate biosynthesis	4-hydroxy-4-methyl-L-glutamate biosynthesis // 4-hydroxy-4-methylglutamate biosynthesis		CPD-15319		PWY-7701					Other-Amino-Acid-Biosynthesis		Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	2-Oxo-carboxylates // CPD-15319 // L-Amino-Acids // PYRUVATE // CPD-187	PYRUVATE // L-Amino-Acids	4.1.3.17-RXN // RXN-16958
HOMOSERSYN-PWY	HOMOSERDEHYDROG-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN	L-homoserine biosynthesis	L-homoserine biosynthesis		HOMO-SER		HOMOSERSYN-PWY	METSYN-PWY // PWY-5347 // PWY-3001 // THRESYN-PWY // PWY-724 // PWY-5345				Other-Amino-Acid-Biosynthesis		Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	ADP // L-ASPARTATE // ATP // NADPH // L-BETA-ASPARTYL-P // Pi // NADP // PROTON // NADH-P-OR-NOP // L-ASPARTATE-SEMIALDEHYDE // HOMO-SER // NAD-P-OR-NOP	NADH-P-OR-NOP // PROTON // NADPH // L-ASPARTATE // ATP	HOMOSERDEHYDROG-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN
PWY-7649	RXN-16497 // RXN-16496 // RXN-16495 // RXN-16494 // RXN-16493	3-hydroxy-<i>L</i>-homotyrosine biosynthesis	3-hydroxy-<i>L</i>-homotyrosine biosynthesis		CPD-17730		PWY-7649					Other-Amino-Acid-Biosynthesis		Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	PROTON // CO-A // P-HYDROXY-PHENYLPYRUVATE // ACETYL-COA // WATER // CPD-17726 // NADH // CPD-17727 // NAD // 2-Oxo-Acids // CPD-17728 // Amino-Acids // CARBON-DIOXIDE // SUC // CPD-17730 // CPD-17729 // 2-KETOGLUTARATE // OXYGEN-MOLECULE	2-KETOGLUTARATE // OXYGEN-MOLECULE // Amino-Acids // NAD // P-HYDROXY-PHENYLPYRUVATE // ACETYL-COA // WATER	RXN-16497 // RXN-16496 // RXN-16495 // RXN-16494 // RXN-16493
PWY-8140	5.1.1.18-RXN	serine racemization	serine racemization		D-SERINE		PWY-8140					Other-Amino-Acid-Biosynthesis		Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	D-SERINE // SER	SER	5.1.1.18-RXN
PWY-5344	HOMOSERINE-O-ACETYLTRANSFERASE-RXN // ACETYLHOMOSER-CYS-RXN	L-homocysteine biosynthesis	L-homocysteine biosynthesis		HOMO-CYS		PWY-5344	PWY-821 // HSERMETANA-PWY // PWY-6293 // PWY-5345				Other-Amino-Acid-Biosynthesis		Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	ACET // HOMO-CYS // PROTON // HS // CO-A // CPD-667 // HOMO-SER // ACETYL-COA	HOMO-SER // ACETYL-COA // HS	HOMOSERINE-O-ACETYLTRANSFERASE-RXN // ACETYLHOMOSER-CYS-RXN
PWY-6936	SERINE-O-ACETTRAN-RXN // RXN-12730 // RXN-12729 // RXN-12728 // RXN-12726	seleno-amino acid biosynthesis (plants)	seleno-amino acid biosynthesis (plants) // Se-amino acid biosynthesis // L-selenocysteine and L-selenomethionine biosynthesis		L-SELENOCYSTEINE // SELENOHOMOCYSTEINE // SELENOMETHIONINE		PWY-6936	PWY-6395				Other-Amino-Acid-Biosynthesis		Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	2-AMINOACRYLATE // CPD-16015 // PROTON // ACET // CPD-678 // Pi // L-SELENOCYSTEINE // O-PHOSPHO-L-HOMOSERINE // AMMONIUM // PYRUVATE // CPD-13717 // WATER // CPD-1301 // SELENOMETHIONINE // SELENOHOMOCYSTEINE // CPD-1302 // CO-A // ACETYLSERINE // SER // ACETYL-COA	SER // ACETYL-COA // CPD-1302 // WATER // O-PHOSPHO-L-HOMOSERINE // CPD-678	SERINE-O-ACETTRAN-RXN // RXN-12730 // RXN-12729 // RXN-12728 // RXN-12726
PWY-7648	RXN-16492 // RXN-16491 // RXN-16490 // RXN-16489 // RXN-16488	3-hydroxy-4-methyl-proline biosynthesis	3-hydroxy-4-methyl-proline biosynthesis		CPD-17747		PWY-7648					Other-Amino-Acid-Biosynthesis		Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	LEU // CARBON-DIOXIDE // SUC // CPD-17723 // 2-KETOGLUTARATE // CPD-17724 // NAD // CPD-17725 // NADH // WATER // NAD-P-OR-NOP // CPD-17747 // CPD-17722 // NADH-P-OR-NOP // PROTON // OXYGEN-MOLECULE	NADH-P-OR-NOP // OXYGEN-MOLECULE // NADH // 2-KETOGLUTARATE // LEU	RXN-16492 // RXN-16491 // RXN-16490 // RXN-16489 // RXN-16488
